item_id,Rating,voteCount,Budget,Gross worldwide,Runtime,Director_Doug Walker,Director_Alfred Hitchcock,Director_Woody Allen,Director_Steven Spielberg,Director_James Cameron,Director_Stanley Kubrick,Director_Frank Capra,Director_Robert Stevenson,Director_Martin Scorsese,Director_Orson Welles,Director_Clint Eastwood,Director_Rob Reiner,Director_Francis Ford Coppola,Director_Milos Forman,Director_Craig Mazin,Director_Nick Park,Director_Billy Wilder,Director_John Huston,Director_Krzysztof Kieslowski,Director_James Ivory
15,7.3,42994.0,23000000.0,106269971.0,8640.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,6.4,5490.0,8000000.0,1026646.0,6240.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,8.0,40.0,8000000.0,10292300.0,360.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,7.6,8524.0,150000.0,924940.0,5100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,7.4,9733.0,1500000.0,4249321.0,6120.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,6.8,4965.0,4997987.0,3414301.0,6960.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,7.1,895.0,3000000.0,10292300.0,5700.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,8.3,1126952.0,72000000.0,213216216.0,10680.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,8.2,974943.0,1300000.0,28580862.0,6840.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
24,6.8,47570.0,7500000.0,32392047.0,6240.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,7.2,107313.0,31000000.0,185260553.0,7020.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,6.6,8419.0,238000.0,10426506.0,5880.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,7.2,17909.0,8000000.0,9190819.0,7380.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,8.0,70.0,8000000.0,10292300.0,2940.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,7.6,17.0,8000000.0,10292300.0,840.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,7.6,51370.0,8000000.0,4162334.0,6000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,7.8,11.0,8000000.0,10292300.0,600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,8.0,22275.0,8000000.0,3041083.0,7140.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,7.1,202940.0,7000000.0,25406131.0,6240.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,7.4,19.0,8000000.0,10292300.0,3120.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,7.3,931.0,8000000.0,10292300.0,15120.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,7.2,137.0,8000000.0,10292300.0,1500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,8.0,1915.0,365000.0,2895372.0,6000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,7.9,1570.0,8000000.0,10292300.0,1800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,6.8,38700.0,30000000.0,47774193.0,6540.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,8.1,173.0,8000000.0,10292300.0,5280.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,7.7,236529.0,27000.0,3152360.0,5520.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,8.2,6285.0,8000000.0,10292300.0,6480.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,7.4,50626.0,8000000.0,24361867.0,7920.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,7.8,24080.0,8000000.0,7294403.0,7440.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,7.6,204.0,8000000.0,10292300.0,4380.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,7.8,188001.0,18000000.0,5888045.0,7620.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,8.4,23.0,8000000.0,10292300.0,5700.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,8.1,318.0,8000000.0,10292300.0,3600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,8.6,1502867.0,11000000.0,775398507.0,7260.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,7.7,166.0,8000000.0,10292300.0,2460.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,7.3,1712.0,8000000.0,21148983.0,6180.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,7.2,259599.0,34000000.0,50287182.0,7140.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,7.2,16115.0,8000000.0,10292300.0,2880.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,8.5,1298950.0,16000000.0,20278989.0,6600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,8.9,2327071.0,8000000.0,213928762.0,9240.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,8.1,2357.0,8000000.0,10292300.0,2100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,7.5,75271.0,31000000.0,24822619.0,7980.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,8.1,113589.0,8000000.0,3641980.0,5940.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
60,8.1,113589.0,8000000.0,3641980.0,5940.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
61,8.1,113589.0,8000000.0,3641980.0,5940.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
62,8.4,104764.0,1400000.0,10292300.0,2640.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,8.2,15.0,8000000.0,10292300.0,5700.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,9.4,96.0,8000000.0,10292300.0,8040.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,7.7,261408.0,11000000.0,10032765.0,7080.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,6.8,119959.0,17000000.0,182057016.0,6180.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,6.9,338652.0,15000000.0,107217396.0,5160.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,7.5,221745.0,23000000.0,50844565.0,6120.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,8.8,2370454.0,55000000.0,678226465.0,8520.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,7.7,16.0,8000000.0,10292300.0,660.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,8.5,1199077.0,45000000.0,979161373.0,5280.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,7.0,445108.0,23000000.0,351583407.0,6060.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,8.2,769505.0,170000000.0,1495696292.0,7800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,7.9,239571.0,30000000.0,63848322.0,8640.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,7.7,758.0,8000000.0,10292300.0,13200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,6.0,85908.0,20000000.0,153709806.0,6720.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,8.1,4969.0,8000000.0,10292300.0,3060.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,7.6,69.0,8000000.0,10292300.0,5700.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,7.2,87879.0,40000000.0,2816518.0,6660.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,8.2,1114862.0,63000000.0,1104379926.0,7620.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,8.5,1247.0,8000000.0,10292300.0,9660.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,7.2,28.0,8000000.0,10292300.0,5700.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,7.0,33.0,8000000.0,10292300.0,720.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,7.8,88399.0,15000000.0,23240144.0,8040.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
87,7.4,43444.0,12000000.0,7266383.0,6540.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,6.8,198226.0,21000000.0,227927165.0,6300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,8.1,852107.0,28000000.0,41760090.0,7020.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,8.1,3853.0,8000000.0,10292300.0,2940.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,8.0,40.0,8000000.0,10292300.0,5700.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,8.2,9.0,8000000.0,10292300.0,360.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,7.4,38681.0,800000.0,4569882.0,5280.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,7.7,694290.0,18000000.0,476684675.0,6180.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,8.0,485441.0,28000000.0,504050219.0,5400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,8.6,1228108.0,102000000.0,517778573.0,8220.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,8.4,13.0,8000000.0,10292300.0,5700.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,8.6,1628481.0,19000000.0,272742922.0,7080.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,8.6,30.0,8000000.0,10292300.0,2400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,8.8,443225.0,8000000.0,10292300.0,3600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,6.6,39835.0,9300000.0,547563.0,5160.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,7.2,1853.0,8000000.0,10292300.0,3000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,6.7,48507.0,13800000.0,27100027.0,5040.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,8.4,1814.0,8000000.0,10292300.0,1800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,8.1,71351.0,8000000.0,12498.0,7020.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,8.2,38.0,8000000.0,10292300.0,5400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,7.2,19.0,8000000.0,10292300.0,2220.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,8.6,27005.0,8000000.0,10292300.0,5400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,5.2,9957.0,8000000.0,24670346.0,6420.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,8.0,58.0,8000000.0,10292300.0,3540.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,6.3,3081.0,8000000.0,10292300.0,1800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,7.0,6519.0,8000000.0,1320043.0,8160.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,8.3,61711.0,8000000.0,10292300.0,1800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
115,7.3,502.0,8000000.0,10292300.0,5340.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,7.2,7831.0,8000000.0,5682429.0,6300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,8.3,6324.0,8000000.0,10292300.0,1440.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,6.8,3332.0,8000000.0,10292300.0,5340.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,6.1,49.0,8000000.0,10292300.0,3240.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,7.0,625497.0,75000000.0,817400891.0,8700.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,6.6,328.0,8000000.0,10292300.0,4020.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,7.8,312.0,8000000.0,10292300.0,16140.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,8.0,416.0,8000000.0,10292300.0,5700.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,7.6,1058.0,2000000.0,10292300.0,5640.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,7.0,7427.0,6000000.0,12658486.0,7020.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,9.5,6661.0,8000000.0,10292300.0,6540.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,7.5,232.0,8000000.0,10292300.0,3600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,9.1,71.0,8000000.0,10292300.0,6060.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,8.4,45.0,8000000.0,10292300.0,5700.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,7.5,198220.0,2500000.0,600450.0,6900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,8.1,449275.0,2777000.0,25637669.0,6120.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,8.5,689.0,8000000.0,10292300.0,7440.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,8.3,479933.0,839727.0,1707754.0,7140.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
135,8.3,751306.0,12000000.0,66810089.0,8940.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,8.1,125593.0,1900000.0,146123.0,7740.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
137,7.3,23904.0,4100000.0,12009094.0,6540.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,6.6,74065.0,10000000.0,50755845.0,6240.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,6.5,18257.0,8000000.0,51264022.0,6480.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
140,7.0,53241.0,8000000.0,41833324.0,5040.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,7.2,38787.0,9000000.0,746.0,7620.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,8.0,24.0,8000000.0,10292300.0,3600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,8.5,35.0,8000000.0,10292300.0,3600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,8.2,987703.0,28000000.0,143651650.0,7920.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,5.9,125.0,8000000.0,10292300.0,5700.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,6.5,2420.0,8000000.0,272542.0,6180.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,6.8,88978.0,65000000.0,89456761.0,7260.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,8.4,5.0,8000000.0,10292300.0,1140.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,7.5,138.0,8000000.0,10292300.0,2700.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,7.2,90423.0,200000.0,4555020.0,5760.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,7.8,236359.0,3000000.0,687741.0,6000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,8.0,6876.0,8000000.0,10292300.0,3600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,7.5,159606.0,7500000.0,62493712.0,6480.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,8.0,428285.0,4000000.0,20831345.0,5640.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,7.1,268534.0,6000000.0,214577242.0,6000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,8.3,1129287.0,1200000.0,2932006.0,5940.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,8.1,454910.0,6000000.0,138546255.0,7200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,6.4,65596.0,8000000.0,30218387.0,5820.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,7.2,115.0,8000000.0,10292300.0,3120.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,9.7,7.0,8000000.0,10292300.0,5700.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,8.2,769505.0,170000000.0,1495696292.0,7800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,7.6,36309.0,7500000.0,119285810.0,6540.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,7.0,30969.0,5000000.0,41833423.0,6780.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,7.5,200900.0,70000000.0,90520202.0,8400.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,8.1,28354.0,8000000.0,4940939.0,7200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,8.0,24762.0,8000000.0,3940542.0,6780.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,6.2,29745.0,9500000.0,69847348.0,6540.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,8.3,1991.0,8000000.0,10292300.0,5700.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,8.3,61711.0,8000000.0,10292300.0,1800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
170,9.7,11.0,8000000.0,10292300.0,6120.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,8.3,15.0,688000.0,10292300.0,5700.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,9.0,75.0,8000000.0,10292300.0,1800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,8.0,465004.0,16000000.0,30981567.0,5880.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
174,8.4,1071297.0,18000000.0,389925971.0,6900.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,8.3,2817.0,8000000.0,10292300.0,2700.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,8.4,806527.0,18500000.0,131060248.0,8220.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,7.7,31.0,10000.0,10292300.0,360.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,9.0,921286.0,350000.0,2945.0,5760.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,8.2,909425.0,2200000.0,27034174.0,8160.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,8.4,739939.0,31500000.0,105086099.0,8820.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
181,8.4,22417.0,8000000.0,10292300.0,540.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,8.7,1320332.0,25000000.0,47063985.0,8700.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
183,8.5,1012437.0,11000000.0,108610231.0,7020.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,8.0,94.0,8000000.0,10292300.0,5700.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,8.5,750254.0,806947.0,32248256.0,6540.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,7.9,221451.0,27500000.0,115229890.0,7980.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,9.0,1424675.0,13000000.0,47980865.0,12120.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
188,8.2,819482.0,30000000.0,50193748.0,6960.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,7.7,39981.0,8000000.0,67836.0,1380.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
190,7.5,32572.0,9000000.0,10161211.0,8220.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,8.4,447346.0,18000000.0,52113524.0,9600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
192,8.1,394623.0,18000000.0,23405883.0,7740.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
193,7.8,67167.0,27000000.0,21192315.0,11580.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,8.3,289537.0,5500000.0,156000000.0,7740.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,8.6,1228108.0,102000000.0,517778573.0,8220.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,8.8,156.0,8000000.0,10292300.0,5700.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,8.0,296032.0,3000000.0,105017915.0,6360.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,7.5,11229.0,8000000.0,10292300.0,3600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,8.3,37.0,8000000.0,10292300.0,6000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,8.6,15.0,8000000.0,10292300.0,57000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,7.7,189158.0,3600000.0,5932279.0,5040.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,8.0,714523.0,14600000.0,71108778.0,6060.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,8.2,453191.0,14400000.0,159167799.0,7800.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
204,8.5,1372530.0,19000000.0,385053307.0,6960.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
