bathrooms,bedrooms,interest_level,price,Elevator,CatsAllowed,HardwoodFloors,DogsAllowed,Doorman,Dishwasher,NoFee,LaundryinBuilding,FitnessCenter,Pre-War,LaundryinUnit,RoofDeck,OutdoorSpace,DiningRoom,HighSpeedInternet,Balcony,SwimmingPool,LaundryInBuilding,NewConstruction,Terrace
1.0,2,0,4000,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,2625,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
1.0,0,0,2500,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,2,0,2550,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1,0,3675,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1
1.0,2,0,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1,0,3785,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,2,0,10800,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1.0,0,0,2150,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
3.0,3,1,2895,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,2,0,3600,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0,0,3025,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1.0,0,0,2795,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1,0,1875,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1,0,3450,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1.0,2,0,2659,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2.0,2,0,3895,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,0
1.0,3,1,3200,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,3,1,5400,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
2.0,4,1,6100,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0,0
1.0,3,1,2600,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1,1,2700,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0
1.0,2,0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,2,0,2910,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,2,0,4200,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1.0,1,0,3000,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.0,2,1,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1,0,4295,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
1.0,1,2,2100,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.0,3,0,4600,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1,0,2795,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,3,1,2600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1,0,4300,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1.0,1,0,5005,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,2,1,3045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,2,1,1950,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,3,0,5500,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2.0,2,0,3500,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1.0,1,1,3000,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1.0,1,0,2895,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1,0,2950,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
1.0,0,1,1900,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1.0,2,1,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,2,1,3100,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1
1.0,3,1,3400,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2.0,3,0,6000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,3,1,2800,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,3,1,5295,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4.0,4,0,4295,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,3,0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0,1,2900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0,2,2090,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,2,0,3400,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1,0,3150,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,3,0,8500,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.0,1,1,2195,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1.0,1,1,2950,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,2,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,4,0,8100,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2.0,5,0,7477,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,3,1,3150,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1.0,3,1,3778,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1,0,2395,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2.0,4,0,4750,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0
1.0,1,2,2600,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,2,0,1900,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
1.0,2,0,2600,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.0,2,1,3030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0,0,2575,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0,0,2600,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
1.0,2,0,4095,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1.5,3,0,5000,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
3.0,3,0,6200,1,0,1,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1
1.0,1,0,3195,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1,0,3800,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,1,0,3161,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
1.0,2,1,2850,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1.0,0,2,2595,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.0,2,2,2200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,3,0,5200,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0
2.0,2,1,4000,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1.0,1,1,2650,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1,0,3141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,3,1,2798,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,2,1,2990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,1,0,2200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1,0,2695,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,3,1,7500,1,0,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1
1.0,1,0,4970,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
1.0,2,0,3300,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2.0,2,0,4590,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1.0,0,1,2350,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0
1.0,1,1,1650,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,2,1,3025,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0,0,2550,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.0,1,0,2900,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
1.0,0,0,3695,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
2.0,2,0,3345,1,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0
1.0,0,0,3460,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2.0,2,0,2575,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1,0,2995,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,2,0,3200,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,2,1,3855,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
1.0,1,0,3650,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,4,2,5500,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
2.0,2,0,9500,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1
1.0,0,1,1952,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1,1,2300,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2.0,2,0,6000,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1
1.0,1,0,1850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1,0,2550,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1,0,2850,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0,0,3156,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1,1,2350,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
1.0,3,0,4400,1,0,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,0
1.0,3,0,4000,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.0,3,0,58020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0,0,1975,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,3,0,4000,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1.0,2,1,3550,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0
1.0,1,2,3100,0,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1
1.0,1,0,2050,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2.0,3,0,7000,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0
1.0,1,1,2750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1,2,1950,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0,1,1900,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0,0,2275,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.0,1,0,3625,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1,1,2695,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1.0,2,0,3295,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.0,1,0,2795,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,2,0,2900,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1,0,2275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,3,1,4995,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.0,1,0,2100,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,2,0,9095,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.0,2,0,3420,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0
1.0,2,0,3200,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.0,2,1,2595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0,0,3350,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.0,0,0,3000,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1.0,2,2,3250,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1.0,0,0,2095,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,0,2380,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
1.0,0,0,2200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0,0,2650,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1.0,3,0,2950,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2.0,4,1,7995,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1.0,1,0,2950,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1,0,3700,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.0,3,0,5695,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1.0,1,0,2700,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,2,0,4370,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2.0,2,0,5070,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1,1,2600,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.0,2,1,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0,0,2400,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1.0,1,0,4675,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
1.0,2,1,2995,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
1.0,1,1,2550,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,2,1,2600,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0
1.0,1,0,2695,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
1.0,3,1,4300,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1.0,1,0,2650,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,4,0,4495,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1.0,1,0,2660,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1,0,1925,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,3,0,3860,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
1.0,2,2,3000,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0
1.0,1,2,2395,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0,1,2850,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1.0,2,0,5250,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.0,3,1,3700,1,0,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0
1.0,0,1,2099,1,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0
1.0,1,0,3025,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1,0,2975,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.0,0,0,2500,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0
2.0,2,0,6295,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
1.0,0,1,1675,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,2,0,5025,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0
1.0,2,0,4050,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2.0,3,0,4950,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
3.0,4,0,9000,1,0,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1
